Verbal,Quantitative,Analytical_Writing,CGPA,Age,Admitted
620,730,4.5,4.17,36,0
510,720,4.5,3.44,20,0
660,760,5.0,3.61,23,1
580,730,2.5,3.84,31,0
510,780,2.0,4.02,36,0
650,780,5.5,4.23,23,1
680,800,2.0,3.74,22,1
600,800,5.0,4.38,22,1
610,790,6.0,4.44,22,1
660,790,4.0,4.08,36,1
700,750,3.0,4.15,20,1
490,800,5.0,3.86,23,0
580,760,2.0,4.07,22,0
600,760,2.5,4.8,22,1
480,710,2.5,3.79,23,0
600,700,3.0,4.12,22,0
580,700,5.0,3.45,22,0
590,790,4.5,4.78,24,0
530,770,2.5,4.18,21,0
580,700,3.5,3.54,22,0
670,770,6.0,3.43,23,1
550,680,5.5,4.07,21,0
700,730,5.5,3.87,22,0
550,760,3.5,4.66,24,0
650,770,6.0,3.61,36,1
550,780,5.0,3.38,24,0
630,770,3.0,3.6,24,1
510,790,4.0,4.67,23,0
690,690,6.0,3.87,25,0
560,800,3.0,4.8,42,0
620,740,4.0,3.85,31,0
520,680,3.5,4.39,22,0
680,800,3.5,4.37,25,1
710,690,5.0,4.72,24,0
610,770,4.0,4.52,24,1
630,750,4.0,4.61,24,1
480,760,4.0,4.8,31,0
600,710,6.0,4.25,24,0
530,800,4.5,3.73,31,0
590,730,4.0,3.58,25,0
700,700,2.0,4.46,25,0
710,720,3.5,3.61,22,0
490,720,4.0,3.47,20,0
670,740,3.5,4.25,24,0
580,770,4.0,4.65,42,0
630,760,3.5,3.82,22,1
670,780,4.0,4.68,20,1
550,700,2.5,3.39,22,0
500,740,2.0,3.87,23,0
590,800,4.0,4.82,22,0
700,690,3.5,4.32,21,0
480,700,6.0,4.35,21,0
500,780,5.0,3.36,22,0
590,730,2.0,3.95,21,0
650,770,5.5,4.43,24,1
720,710,5.5,4.25,31,0
610,730,4.5,3.71,31,0
720,700,3.5,3.43,22,0
640,750,5.5,4.33,31,1
610,700,2.0,3.39,21,0
690,790,3.0,3.98,25,1
700,780,3.5,3.43,22,1
650,790,5.5,3.59,22,1
650,740,2.5,4.69,25,0
660,700,2.0,4.15,22,0
690,680,4.0,3.48,21,0
560,770,4.0,4.61,25,0
680,720,3.0,4.42,31,0
690,700,3.0,4.67,24,0
650,710,2.0,4.17,25,0
520,770,3.0,3.91,25,0
590,790,3.0,3.61,22,0
500,740,3.5,4.15,22,0
530,790,2.5,3.41,22,0
720,730,6.0,4.5,22,0
490,690,4.5,4.2,25,0
650,690,6.0,3.77,21,0
670,800,6.0,4.8,24,1
480,730,3.5,3.31,24,0
700,750,3.5,4.57,23,1
650,780,2.5,4.25,22,1
700,710,3.0,4.12,31,0
550,710,3.0,4.81,22,0
540,750,4.5,3.61,23,0
610,740,4.0,4.21,22,0
600,790,3.0,4.25,22,1
660,680,3.0,4.54,23,0
480,760,5.0,4.76,23,0
550,710,4.0,4.35,22,0
550,710,4.5,3.96,24,0
690,720,4.5,4.73,23,0
660,740,5.0,3.4,24,0
570,780,3.0,4.18,25,0
600,690,2.5,4.4,24,0
540,800,5.5,3.81,23,0
640,730,3.5,3.73,24,0
560,690,3.5,3.7,23,0
600,770,2.5,4.15,24,1
550,700,2.0,4.31,22,0
710,740,2.5,3.53,24,0
590,790,3.5,3.83,24,0
540,750,3.0,3.6,22,0
550,710,2.5,3.89,23,0
630,770,2.5,4.46,24,1
690,710,5.0,3.82,23,0
690,740,5.5,4.49,22,0
710,690,3.0,4.35,21,0
500,800,6.0,4.29,22,0
680,690,2.0,4.84,36,0
690,770,3.0,4.68,31,1
620,720,4.5,4.03,21,0
520,730,4.0,3.41,22,0
490,800,3.0,4.21,22,0
480,770,6.0,4.66,42,0
540,700,5.0,3.5,23,0
630,710,3.0,4.64,21,0
710,720,5.5,4.23,24,0
510,710,2.5,3.74,22,0
720,800,3.0,4.51,21,1
620,720,5.0,4.17,25,0
500,800,2.0,4.66,31,0
610,780,5.0,4.05,22,1
610,730,5.5,3.51,20,0
720,680,2.5,3.33,20,0
570,780,4.5,4.72,24,0
490,700,4.0,3.43,24,0
620,790,3.5,3.77,23,1
710,790,3.0,3.45,23,1
590,760,4.0,3.38,22,0
510,760,4.0,3.54,21,0
540,680,3.0,3.73,23,0
650,710,5.0,3.67,21,0
480,740,3.0,4.38,25,0
520,760,4.5,4.64,22,0
610,760,3.0,3.57,25,1
670,700,5.5,4.09,24,0
510,790,2.5,3.91,21,0
520,730,5.5,3.76,25,0
590,690,5.0,3.82,20,0
480,720,4.5,4.29,22,0
610,750,4.5,3.42,21,1
650,730,6.0,3.85,22,0
590,790,5.5,4.09,24,0
480,760,4.0,3.7,23,0
550,720,5.0,3.52,25,0
540,760,5.0,4.74,24,0
590,680,3.0,4.79,21,0
710,700,4.0,3.74,25,0
480,720,3.0,4.06,36,0
610,800,4.5,3.56,20,1
560,680,5.0,4.56,25,0
540,750,3.0,3.68,22,0
720,760,2.0,4.51,24,1
610,780,2.0,4.32,31,1
510,790,5.5,3.43,22,0
550,800,5.5,4.68,36,0
690,770,5.5,3.38,23,1
720,790,2.5,4.67,23,1
670,790,2.0,4.1,23,1
660,700,6.0,4.61,42,0
540,780,4.5,4.13,25,0
540,730,4.5,4.53,24,0
560,790,4.5,4.23,22,0
640,760,2.5,4.22,22,1
570,720,2.0,4.78,21,0
660,730,5.5,4.45,23,0
500,790,5.0,3.46,31,0
660,730,4.0,3.56,21,0
570,740,3.5,4.74,42,0
660,760,2.0,4.47,24,1
700,780,3.5,4.38,20,1
630,690,2.5,4.03,23,0
590,790,2.5,3.48,21,0
570,800,4.5,4.45,31,0
610,680,4.0,4.84,24,0
550,720,5.5,4.41,24,0
590,800,5.5,4.75,24,0
480,760,5.5,4.71,24,0
650,790,2.0,4.17,22,1
590,730,2.5,4.01,21,0
510,760,4.0,3.57,25,0
650,770,3.0,3.94,22,1
610,700,4.0,4.8,42,0
500,740,2.0,4.41,20,0
540,700,3.5,3.92,21,0
600,700,4.0,4.62,22,0
570,770,2.5,4.73,23,0
640,740,2.5,4.47,23,0
600,680,2.5,4.04,25,0
610,700,4.0,3.95,21,0
540,700,4.0,4.2,23,0
480,760,5.5,4.31,24,0
610,710,5.5,3.58,23,0
590,700,5.0,4.38,23,0
690,720,3.5,4.28,23,0
640,730,3.0,4.7,23,0
590,790,5.0,3.99,20,0
590,750,2.0,3.76,23,0
710,770,2.0,4.01,31,1
500,720,4.0,4.34,23,0
650,780,4.0,3.33,23,1
630,730,5.5,4.22,24,0
680,710,5.5,3.58,22,0
660,780,3.5,3.43,25,1
520,760,3.0,4.41,31,0
710,680,6.0,3.31,25,0
620,700,6.0,4.74,22,0
580,750,2.5,4.26,31,0
700,730,2.0,4.37,42,0
640,770,3.5,4.4,21,1
490,740,5.5,4.45,20,0
720,800,2.5,3.42,22,1
550,760,4.5,3.49,21,0
650,780,2.0,4.81,22,1
520,770,3.5,4.71,21,0
640,680,6.0,3.53,22,0
600,750,2.5,4.01,22,1
650,780,5.5,4.73,23,1
670,780,5.0,4.05,25,1
530,690,3.5,4.44,22,0
600,780,5.0,3.34,42,1
600,700,6.0,4.55,24,0
680,700,2.0,4.84,24,0
700,800,6.0,4.09,24,1
660,680,6.0,3.41,22,0
520,790,6.0,4.01,22,0
520,710,2.0,3.63,22,0
530,730,5.0,4.69,42,0
580,770,3.5,3.77,36,0
670,750,4.0,4.18,31,1
620,780,3.5,4.69,23,1
600,690,4.0,4.25,23,0
630,800,3.0,3.36,20,1
570,790,3.0,3.58,20,0
500,710,5.5,4.27,20,0
480,760,3.5,3.68,20,0
530,680,4.5,4.23,23,0
500,720,2.5,4.43,22,0
560,780,2.5,4.82,25,0
590,680,2.0,4.11,36,0
680,730,3.0,4.45,25,0
720,680,4.5,4.52,25,0
540,760,2.5,4.27,25,0
660,710,2.5,4.72,25,0
590,800,4.0,3.73,22,0
660,740,5.5,3.73,24,0
580,680,6.0,3.46,20,0
500,700,4.0,3.69,23,0
640,690,6.0,4.41,31,0
700,800,3.5,4.04,22,1
550,730,2.5,4.77,21,0
510,750,6.0,4.16,22,0
620,740,2.0,4.06,25,0
510,680,5.5,3.67,21,0
670,750,2.5,3.6,31,1
580,750,2.0,4.63,31,0
510,790,2.5,4.83,22,0
620,690,3.0,4.67,24,0
580,760,6.0,3.72,25,0
530,680,3.5,3.43,31,0
700,740,5.5,4.77,25,0
510,780,4.0,3.75,24,0
480,700,6.0,3.76,25,0
570,760,4.5,3.97,25,0
670,730,2.0,4.56,21,0
630,740,3.5,4.59,21,0
710,710,2.0,4.53,23,0
520,770,4.5,3.94,24,0
690,680,5.0,4.15,25,0
490,760,5.5,3.31,42,0
600,730,2.0,4.38,23,0
670,790,2.5,3.52,21,1
560,740,2.5,3.49,25,0
680,770,3.0,4.14,23,1
580,760,3.0,4.32,21,0
680,750,3.5,4.14,24,1
680,770,2.0,3.79,25,1
680,790,4.0,4.32,22,1
540,780,4.5,4.83,22,0
540,770,3.0,4.78,31,0
700,720,2.5,4.23,22,0
640,750,6.0,3.74,23,1
720,690,6.0,4.24,23,0
540,740,4.5,3.92,24,0
690,720,2.0,3.55,23,0
590,750,4.5,4.7,21,0
560,690,3.0,3.48,23,0
650,730,5.5,3.62,21,0
640,780,4.0,4.65,24,1
650,760,4.5,4.63,42,1
490,740,3.5,4.35,22,0
620,710,4.5,3.5,22,0
560,750,4.0,4.57,23,0
630,730,3.5,4.14,22,0
510,690,5.0,3.47,42,0
660,740,3.5,4.52,24,0
620,790,4.5,4.51,23,1
550,780,3.0,4.05,24,0
550,680,2.5,3.82,25,0
570,760,4.0,4.12,22,0
630,800,4.0,3.34,42,1
580,700,2.5,3.64,24,0
550,770,4.5,3.81,23,0
680,750,4.5,3.47,21,1
560,690,6.0,4.81,22,0
500,800,2.0,4.72,23,0
660,690,4.5,3.47,31,0
550,780,4.0,3.42,36,0
700,730,6.0,4.34,23,0
510,700,3.5,4.73,22,0
530,700,5.0,3.32,24,0
620,740,4.0,3.84,42,0
670,750,3.5,4.32,24,1
490,710,4.5,3.92,21,0
570,750,2.5,4.83,22,0
650,740,2.5,3.54,22,0
670,780,6.0,3.47,36,1
650,770,3.0,3.82,23,1
590,740,2.0,4.17,25,0
670,780,6.0,4.5,21,1
650,760,2.5,3.95,21,1
590,730,3.5,3.34,21,0
660,800,5.0,3.32,24,1
570,730,2.0,3.98,21,0
660,740,6.0,3.44,25,0
560,800,3.5,3.9,22,0
710,760,3.5,4.81,31,1
690,760,5.0,3.38,22,1
520,710,5.5,4.78,21,0
530,700,5.5,3.32,20,0
710,780,5.0,3.34,24,1
620,720,3.0,4.52,22,0
630,690,3.5,3.59,36,0
500,790,5.5,4.38,24,0
700,730,5.0,4.84,23,0
520,790,5.5,3.4,22,0
710,690,4.0,4.8,36,0
720,770,4.0,4.38,22,1
700,690,5.0,3.66,24,0
670,770,5.0,3.7,24,1
490,700,5.0,4.35,23,0
510,700,5.5,3.59,36,0
530,720,2.0,4.36,22,0
610,690,6.0,4.54,24,0
540,730,2.5,4.25,23,0
630,710,5.5,4.22,36,0
620,770,6.0,3.48,22,1
600,770,4.5,3.78,25,1
710,790,4.0,4.67,23,1
550,790,2.5,4.71,20,0
710,720,2.5,4.37,22,0
650,750,4.0,4.69,23,1
500,720,5.5,4.33,21,0
610,700,3.0,4.44,23,0
620,760,4.0,3.8,31,1
530,800,4.5,4.74,22,0
550,700,5.5,4.79,23,0
710,760,2.5,4.15,42,1
590,740,2.0,3.48,21,0
700,790,2.0,4.45,23,1
590,710,4.0,3.41,22,0
570,760,5.5,4.31,20,0
530,680,3.0,4.19,25,0
690,700,3.0,3.8,22,0
520,690,4.0,4.71,20,0
480,760,4.5,3.53,22,0
560,800,6.0,4.31,24,0
720,740,5.0,4.28,24,0
640,740,3.5,4.09,24,0
680,680,3.5,4.62,21,0
600,760,2.0,3.55,22,1
510,800,4.5,3.46,20,0
580,720,5.0,4.11,21,0
600,790,3.5,3.98,21,1
700,680,4.5,4.36,24,0
480,760,5.5,3.37,42,0
560,690,2.5,4.77,20,0
690,710,2.0,4.81,22,0
570,750,2.0,4.58,24,0
600,750,3.5,4.64,23,1
690,680,3.0,4.32,21,0
480,710,4.5,4.59,23,0
570,790,5.5,4.34,22,0
680,770,5.5,4.65,23,1
710,770,6.0,4.18,22,1
670,710,5.0,4.03,22,0
560,790,4.0,3.37,25,0
590,770,6.0,4.58,24,0
710,770,3.0,3.83,22,1
650,680,5.5,4.52,42,0
600,690,5.0,4.26,25,0
710,680,3.0,4.44,20,0
570,680,6.0,4.53,22,0
690,740,6.0,4.22,22,0
630,730,2.0,3.89,23,0
610,690,5.5,4.54,25,0
500,770,5.5,3.53,22,0
660,750,4.0,4.56,22,1
680,770,3.0,3.76,21,1
680,720,2.5,3.63,36,0
700,690,3.0,4.1,31,0
480,770,3.0,3.88,25,0
660,730,4.0,4.51,22,0
530,760,4.5,4.17,25,0
520,680,2.5,3.53,20,0
530,730,4.0,4.24,22,0
510,790,3.0,4.58,22,0
520,800,5.0,3.86,31,0
570,690,2.0,4.54,42,0
690,700,4.5,4.38,20,0
610,680,6.0,4.34,36,0
610,750,5.5,4.33,36,1
500,710,5.0,4.5,22,0
710,700,5.0,3.67,42,0
670,730,2.0,4.62,31,0
650,790,2.5,3.49,21,1
680,780,5.0,3.6,42,1
480,760,2.5,4.82,31,0
700,750,4.0,4.28,22,1
650,760,2.0,4.46,21,1
500,700,2.0,4.82,23,0
670,690,6.0,3.97,42,0
640,720,3.5,3.54,22,0
510,800,4.0,3.93,24,0
660,790,4.0,3.8,22,1
540,780,6.0,3.68,42,0
600,790,3.5,3.66,24,1
480,710,6.0,4.78,25,0
640,720,5.5,3.4,42,0
600,750,5.5,4.41,42,1
680,800,5.5,3.38,24,1
690,720,2.0,4.6,31,0
520,690,6.0,4.64,23,0
720,790,6.0,3.67,21,1
670,740,6.0,3.63,23,0
600,760,6.0,3.66,21,1
600,740,2.0,4.49,23,0
700,760,4.0,3.86,24,1
660,750,2.0,4.18,21,1
540,750,2.0,3.57,36,0
640,720,5.5,4.7,20,0
540,680,5.5,3.44,21,0
600,720,5.5,4.05,21,0
500,690,3.5,3.33,22,0
510,720,4.0,4.19,23,0
660,760,4.5,3.5,42,1
500,770,3.5,4.54,23,0
590,740,6.0,4.15,23,0
660,690,4.5,4.08,23,0
650,730,2.0,3.51,21,0
490,790,2.0,4.48,22,0
490,790,5.5,3.69,25,0
580,800,2.0,3.87,25,0
560,710,3.0,4.09,22,0
510,770,3.5,4.13,21,0
700,800,4.5,3.53,22,1
620,710,6.0,3.31,22,0
610,800,3.0,3.7,22,1
710,760,4.0,4.77,36,1
550,680,2.5,4.85,24,0
560,710,3.5,4.04,22,0
620,680,2.5,3.67,22,0
610,770,2.5,4.44,31,1
660,770,3.5,3.83,21,1
650,790,5.5,4.82,22,1
530,740,2.5,4.04,31,0
640,780,4.5,4.69,24,1
530,790,2.0,3.98,23,0
680,790,4.5,4.53,22,1
720,790,3.5,4.54,24,1
620,690,2.5,4.35,42,0
720,720,4.0,3.47,23,0
630,760,4.5,4.58,21,1
480,740,4.5,4.8,22,0
680,700,4.5,4.42,22,0
510,710,5.5,4.76,22,0
680,720,5.5,4.35,24,0
500,750,3.5,3.53,22,0
690,780,3.5,3.83,23,1
480,740,4.5,4.7,22,0
710,710,5.5,4.43,21,0
550,720,4.5,3.31,21,0
700,710,2.5,3.49,23,0
580,800,6.0,4.36,22,0
700,700,4.5,4.2,21,0
680,680,5.0,3.68,21,0
640,730,5.0,3.4,42,0
600,760,3.0,3.31,36,1
500,790,2.0,3.51,22,0
630,800,5.5,4.56,21,1
600,740,4.5,3.87,25,0
480,680,3.5,3.66,31,0
670,760,4.0,3.46,24,1
670,760,6.0,3.59,25,1
710,790,5.5,3.89,25,1
600,710,2.0,4.41,22,0
640,720,4.5,4.46,24,0
690,770,3.0,4.55,36,1
710,700,3.0,4.79,23,0
620,680,5.0,3.54,36,0
690,790,5.0,3.33,24,1
550,790,4.0,3.64,24,0
610,700,4.0,4.33,23,0
690,710,3.5,4.45,36,0
530,710,2.0,4.67,24,0
580,740,2.5,4.48,24,0
710,700,2.5,3.48,42,0
720,760,2.5,3.41,23,1
560,680,5.5,4.31,25,0
560,780,2.5,3.66,22,0
670,790,5.5,4.31,22,1
600,730,2.0,4.39,22,0
540,770,6.0,4.81,31,0
630,800,6.0,3.84,22,1
640,730,6.0,3.6,23,0
560,720,2.0,3.6,21,0
550,740,2.0,3.98,31,0
540,710,2.5,4.55,22,0
620,690,6.0,3.48,23,0
620,680,4.0,3.97,23,0
530,730,2.5,3.57,22,0
720,750,3.0,4.54,31,1
520,700,3.0,4.64,24,0
690,800,3.0,4.25,23,1
580,800,4.5,4.36,31,0
720,720,3.0,3.78,20,0
490,730,2.0,3.96,22,0
500,770,3.5,4.38,42,0
630,770,3.0,4.12,24,1
720,690,2.0,3.41,24,0
630,790,4.5,4.07,23,1
630,790,5.0,4.65,21,1
630,710,2.0,4.33,36,0
620,680,3.0,4.7,22,0
660,750,3.0,3.39,25,1
560,750,3.0,4.75,22,0
710,770,5.0,3.84,23,1
660,750,3.5,3.92,22,1
620,780,2.0,4.03,31,1
710,720,5.5,3.59,22,0
510,760,4.5,4.5,24,0
550,730,4.5,4.43,25,0
660,720,5.5,4.78,24,0
630,730,5.5,3.84,36,0
560,720,3.5,3.43,42,0
540,680,3.0,4.01,36,0
480,740,4.5,4.19,22,0
510,710,3.0,3.68,24,0
710,740,4.5,4.09,22,0
530,690,3.5,4.23,20,0
600,710,5.5,3.63,23,0
570,750,5.5,3.78,36,0
520,800,6.0,3.39,23,0
530,790,5.0,3.99,31,0
540,730,2.0,4.09,23,0
570,750,3.0,3.92,24,0
480,680,3.5,3.98,20,0
680,770,4.0,4.83,22,1
610,700,2.0,3.47,23,0
620,790,5.0,4.55,24,1
720,680,2.5,3.39,24,0
620,720,2.0,4.67,24,0
570,690,4.0,4.32,22,0
560,760,5.0,3.51,21,0
640,750,4.0,4.3,24,1
660,800,3.5,4.43,23,1
500,750,4.5,3.31,23,0
530,710,3.0,4.47,23,0
710,740,5.0,4.45,21,0
540,730,5.5,3.71,22,0
560,760,5.5,4.06,22,0
480,730,5.5,3.59,22,0
560,780,4.0,4.47,22,0
720,760,5.0,4.51,31,1
650,700,4.5,4.1,25,0
690,800,2.5,4.61,31,1
710,800,4.0,4.17,25,1
700,700,3.0,4.61,24,0
520,780,2.0,3.53,23,0
570,780,3.0,4.11,31,0
680,760,4.5,3.64,20,1
490,710,3.0,4.81,23,0
680,720,5.5,3.65,25,0
700,720,4.0,3.49,21,0
700,800,3.5,3.45,23,1
520,800,2.0,3.9,24,0
500,680,3.0,4.01,22,0
560,710,6.0,4.73,22,0
680,750,6.0,4.26,36,1
710,750,2.5,3.85,36,1
660,720,2.0,3.62,24,0
590,710,4.0,4.57,21,0
620,740,3.5,3.51,25,0
680,710,4.5,4.59,23,0
510,690,5.0,4.08,20,0
630,700,3.5,4.71,23,0
640,790,2.0,3.34,23,1
550,760,6.0,3.65,36,0
700,730,5.0,3.84,21,0
550,770,4.5,4.66,42,0
490,790,3.0,4.39,24,0
700,690,3.0,4.19,23,0
670,680,2.5,4.73,31,0
670,740,5.0,3.84,22,0
620,720,4.5,3.76,42,0
610,760,4.5,4.32,22,1
480,690,3.5,4.5,36,0
660,760,2.5,4.09,24,1
480,750,3.0,4.5,23,0
540,790,4.0,4.63,36,0
580,700,5.5,4.72,24,0
520,720,4.0,3.38,22,0
590,710,3.5,3.98,23,0
660,710,4.0,3.52,20,0
540,750,3.5,4.42,22,0
610,770,3.5,4.64,22,1
700,740,2.0,3.78,31,0
500,730,5.5,3.49,31,0
530,760,4.0,3.32,22,0
490,750,5.0,4.74,21,0
520,780,2.0,3.71,31,0
590,760,3.5,3.37,21,0
600,750,3.0,4.08,23,1
690,700,2.0,3.85,22,0
700,790,3.5,4.62,21,1
640,740,4.5,3.46,24,0
490,710,6.0,3.53,31,0
580,720,4.5,3.84,42,0
690,680,5.0,4.55,21,0
550,800,3.5,4.46,22,0
680,690,3.0,4.4,22,0
630,700,5.5,4.42,25,0
580,710,5.5,3.71,36,0
640,750,4.5,3.33,23,1
600,750,6.0,4.12,42,1
570,690,6.0,4.62,20,0
520,720,5.5,3.88,21,0
660,680,5.5,4.08,21,0
590,790,5.0,3.88,25,0
550,730,4.0,4.13,22,0
540,730,5.0,4.72,31,0
620,730,3.5,3.59,20,0
620,710,3.5,3.55,22,0
610,760,5.5,4.25,21,1
720,800,4.0,4.22,21,1
490,720,3.0,3.88,21,0
490,700,5.5,4.81,25,0
630,700,4.5,3.76,24,0
710,770,6.0,4.8,20,1
510,780,2.0,4.59,20,0
650,680,5.5,4.25,24,0
640,750,3.5,3.53,25,1
640,720,2.0,4.57,22,0
550,690,4.5,4.46,36,0
500,770,4.0,3.81,21,0
700,730,3.0,3.56,21,0
550,700,2.5,3.97,25,0
710,790,2.0,3.34,24,1
500,790,3.0,3.4,21,0
540,720,4.5,3.65,24,0
490,740,6.0,3.36,21,0
580,680,6.0,4.59,31,0
720,770,4.5,4.11,25,1
610,760,4.5,3.76,24,1
620,720,4.0,3.63,20,0
600,760,4.0,3.57,21,1
660,700,4.5,3.5,42,0
550,740,4.5,3.84,24,0
610,730,4.5,4.26,21,0
540,760,4.0,3.65,24,0
490,680,2.0,4.26,24,0
570,680,3.5,4.22,42,0
650,740,4.5,3.49,42,0
610,780,6.0,3.86,20,1
630,740,5.5,4.03,22,0
590,700,2.5,3.45,22,0
710,730,4.0,3.94,21,0
660,710,2.5,3.54,22,0
490,710,4.0,4.64,24,0
650,780,5.0,3.93,24,1
650,780,6.0,3.77,36,1
620,800,5.0,3.35,25,1
550,790,5.5,4.7,20,0
660,800,4.0,3.42,31,1
610,730,4.5,4.42,20,0
710,790,3.0,3.63,22,1
500,730,5.5,4.44,21,0
680,790,6.0,4.62,22,1
580,770,4.0,4.49,22,0
660,780,4.0,4.68,25,1
600,800,2.0,3.38,22,1
560,790,6.0,3.89,22,0
700,730,2.0,3.82,25,0
490,710,2.0,3.48,31,0
560,680,4.0,4.82,42,0
640,690,3.0,4.19,24,0
530,710,3.0,4.07,22,0
660,760,2.5,4.19,21,1
720,720,4.0,3.39,22,0
510,710,2.0,3.91,24,0
540,780,3.0,4.82,24,0
630,750,4.5,3.68,25,1
600,740,5.0,4.13,22,0
640,680,5.5,3.96,42,0
710,690,3.5,3.5,21,0
590,690,4.5,4.83,23,0
600,760,5.0,4.67,36,1
490,710,2.5,3.57,21,0
700,780,2.0,3.37,24,1
700,770,5.0,4.68,21,1
510,720,5.5,3.47,23,0
500,740,3.0,3.45,36,0
570,720,4.5,4.03,21,0
510,680,5.5,3.77,22,0
670,800,4.5,3.57,25,1
650,720,4.5,3.56,22,0
600,710,3.0,4.24,25,0
570,710,2.0,4.2,24,0
630,690,5.5,4.35,22,0
720,730,2.0,3.31,25,0
530,800,4.5,3.9,22,0
540,700,4.5,4.32,25,0
560,730,3.0,3.97,22,0
510,790,4.0,4.65,21,0
500,770,3.5,3.45,20,0
560,790,3.0,4.57,22,0
570,760,5.5,4.16,25,0
550,730,4.0,3.69,22,0
590,730,3.5,3.72,31,0
630,770,3.0,3.34,24,1
670,690,5.5,3.52,22,0
530,760,5.0,4.84,23,0
700,720,3.0,4.43,31,0
520,790,2.0,3.68,22,0
710,690,3.0,4.74,25,0
490,770,5.5,4.57,23,0
650,720,4.5,4.74,22,0
500,730,5.5,3.9,24,0
560,770,4.0,3.36,25,0
710,690,5.5,4.41,22,0
500,690,4.5,3.8,22,0
500,740,4.5,3.54,25,0
720,800,3.5,3.93,21,1
