,Age_of_Car,Mileage,MPG,Resale_Price
204,3,38717,29,386808
205,2,39541,20,561448
206,4,35381,23,517997
207,3,38171,22,503398
208,6,37739,31,290162
209,2,35361,27,407070
210,2,30063,21,566669
211,4,36789,29,338183
212,7,33402,20,544562
213,3,31453,25,467753
214,3,36101,20,640562
215,6,32405,21,494797
216,6,34641,22,518357
217,2,30450,24,549796
218,5,36046,31,291179
219,4,41465,23,468772
220,6,41490,20,544276
221,7,34936,27,404944
222,8,37557,33,196434
223,6,39136,32,254176
224,5,41017,32,309933
225,7,36888,18,553886
226,2,32976,19,593416
227,5,40001,31,309725
228,5,36253,28,400222
229,7,39576,32,246017
230,6,33005,25,418294
231,3,37705,22,578863
232,2,35018,23,569640
233,6,33016,23,524230
234,6,38730,32,202429
235,2,37114,22,567004
236,2,33015,29,360524
237,5,40104,25,422180
238,7,30810,20,557739
239,7,32132,33,194374
240,2,35312,27,456371
241,6,34271,31,243472
242,6,34508,18,572105
243,7,33464,21,558509
244,6,36659,31,301260
245,6,37856,28,315459
246,8,41405,29,324843
247,6,36364,29,331534
248,2,38975,29,393682
249,4,40547,33,273209
250,8,32787,21,551401
251,5,38736,33,232420
252,7,32142,32,229717
253,3,34603,31,289489
254,4,32301,33,312004
255,4,35330,33,250565
256,4,32440,31,328309
257,8,34724,28,311651
258,2,36695,19,650634
259,3,30702,18,666361
260,7,34429,31,302882
261,7,34760,26,378976
262,2,33089,29,398605
263,2,35453,23,554221
264,2,41457,26,484909
265,2,34381,18,613612
266,4,40585,32,227104
267,3,36034,32,313605
268,3,39126,23,537245
269,8,39514,33,207515
270,2,30754,21,568963
271,2,34837,19,669496
272,2,30446,33,327888
273,2,34175,21,582446
274,5,33122,27,350261
275,3,39052,23,531509
276,2,34192,29,413450
277,5,41983,25,385727
278,8,39266,26,338212
279,3,32570,30,344415
280,2,36033,24,448199
281,6,30221,28,348026
282,7,36939,31,227367
283,8,39713,18,538037
284,2,38207,26,415271
285,3,30972,33,243115
286,2,31002,25,516286
287,4,40655,19,561061
288,6,40534,25,414687
289,6,35969,33,213192
290,3,31360,22,581463
291,8,32443,32,249004
292,2,31415,18,683445
293,2,30354,26,501364
294,2,41025,27,438696
295,4,38535,29,311868
296,3,41892,28,377346
297,5,36738,32,321150
298,5,33223,22,556513
299,6,35814,31,327041
300,4,40456,19,624874
301,7,39670,18,627319
302,2,40085,21,561928
303,2,41543,19,587835
304,2,35319,23,521227
305,8,31554,21,544933
306,2,37956,28,356319
307,7,36328,32,291201
308,2,33722,19,597794
309,6,40158,30,320767
310,4,38839,21,560924
311,4,37735,21,586643
312,8,39819,20,561392
313,2,32656,24,495744
314,5,31243,28,344342
315,6,39546,23,500650
316,2,36170,32,303818
317,2,31918,28,386318
318,6,36491,33,248206
319,3,30219,18,612342
320,8,34992,24,396286
321,2,37742,19,657013
322,2,34955,26,443290
323,4,31004,26,411065
324,2,35229,22,519092
325,8,32121,27,414060
326,7,32801,29,371988
327,7,34927,18,622294
328,2,38093,25,478072
329,2,32683,19,664405
330,6,30697,26,415694
331,2,36816,22,511872
332,5,32966,31,346186
333,5,38591,23,515026
334,6,33604,20,572237
335,7,33514,23,432633
336,2,34849,32,266682
337,2,33787,18,683591
338,5,35903,22,539484
339,3,38013,30,378253
340,3,33747,28,346008
341,4,38784,28,356575
342,6,31818,29,379799
343,2,36982,32,301560
344,6,34125,22,547374
345,3,30297,28,427632
346,6,33431,26,422982
347,2,37150,20,617460
348,5,41665,26,448971
349,4,31699,33,308342
350,6,41326,22,543605
351,6,32541,29,321452
352,7,38426,19,518710
353,7,37991,25,392577
354,4,34306,22,543566
355,6,33079,25,434480
356,3,30701,31,292156
357,2,33698,18,628888
358,7,30422,31,265099
359,2,33586,32,325537
360,2,33558,27,425920
361,8,34617,22,520138
362,6,32197,30,362724
363,2,34533,31,277686
364,7,40208,23,512484
365,2,40341,22,567121
366,4,40358,29,316554
367,4,33128,20,569961
368,6,37731,31,303917
369,5,30937,31,328222
370,4,41312,27,407810
371,6,31760,25,414339
372,7,31171,22,452514
373,3,35436,24,490850
374,7,37671,33,205825
375,3,38046,26,444813
376,2,37800,21,617694
377,2,32941,27,394187
378,2,33246,24,488301
379,4,32778,20,555601
380,3,30500,26,491672
381,5,32631,19,579252
382,6,35847,28,410960
383,7,33425,29,334013
384,6,35376,25,466215
385,5,40838,18,639417
386,7,36598,18,623134
387,6,38758,22,502458
388,8,33332,33,227277
389,2,41231,25,516555
390,6,30143,24,424856
391,6,36635,30,283255
392,5,35748,33,291100
393,4,33156,27,422363
394,4,38248,26,408793
395,2,41074,18,638240
396,3,40489,19,625896
397,4,37606,31,264647
398,6,37777,19,551592
399,3,37926,19,580818
400,2,34748,28,396641
401,8,35311,30,261875
402,2,31250,21,569576
403,8,37412,31,212183
404,7,38429,31,259009
405,3,33009,29,317749
406,5,36768,19,631224
407,6,40060,18,558817
408,3,39821,28,331481
409,4,38710,26,451297
410,2,32441,27,424573
411,6,34107,32,234706
412,4,40708,29,391127
413,6,30727,18,586635
414,2,37564,25,472370
415,3,41678,33,312268
416,3,31233,22,519723
417,6,31705,30,321098
418,2,33743,25,499264
419,6,39075,33,279245
420,8,35140,28,296716
421,6,37716,21,515262
422,6,41130,22,492050
423,2,31698,19,681317
424,2,30953,27,459060
425,3,41747,22,515390
426,7,41444,28,372772
427,3,40731,23,524814
428,7,36995,25,429800
429,3,39287,28,437878
430,7,41126,30,276138
431,2,34234,29,375395
432,2,31537,23,501180
433,2,30594,23,479291
434,4,37633,20,565124
435,7,32442,31,310618
436,6,32106,28,369079
437,3,41204,30,313976
438,3,39932,30,294504
439,7,41184,22,543153
440,8,37099,31,301752
441,2,32832,20,574848
442,4,33234,18,606736
443,2,32846,32,256636
444,8,33874,24,466276
445,3,41899,20,590009
446,6,40392,33,226492
447,2,36531,18,674677
448,5,33867,29,400500
449,3,41027,30,377798
450,2,31926,29,358667
451,2,31746,27,392447
452,6,33700,23,514221
453,7,32740,20,562731
454,6,32414,19,631758
455,4,31164,19,648891
456,3,31683,28,429153
457,2,39336,21,592620
458,8,36889,30,238740
459,8,38126,20,514106
460,3,35565,31,303654
461,6,38193,30,353034
462,2,38219,33,226136
463,2,36072,19,608845
464,6,30924,18,568669
465,4,35130,18,663367
466,6,36824,31,242100
467,2,33649,21,595474
468,3,39241,20,618098
469,5,36582,20,579481
470,3,35979,28,381978
471,3,35564,22,491791
472,2,38989,24,489434
473,2,41127,25,415788
474,7,37713,22,500315
475,6,38318,19,561378
476,8,34105,30,292308
477,7,35388,28,390711
478,6,35872,25,463862
479,5,31594,31,301335
480,3,32051,24,516623
481,5,39798,26,455183
482,4,39950,33,231361
483,7,36528,33,249555
484,2,36261,25,457021
485,6,30993,29,318375
486,6,31290,33,263817
487,5,31047,18,656569
488,6,31188,22,516077
489,8,35818,30,322100
490,7,34738,27,321509
491,8,31295,30,273980
492,5,41410,30,315000
493,6,39221,29,301843
494,7,32813,32,285953
495,8,34874,32,217133
496,3,40008,25,419183
497,8,41894,30,253338
498,3,39749,27,357282
499,7,41471,26,360376
500,3,32203,25,446515
501,6,33625,25,479423
502,7,39230,20,533295
503,2,39055,22,539434
504,3,39991,23,543463
505,5,39537,33,267138
506,2,41517,18,692183
507,6,30875,22,472002
508,6,35141,29,288219
509,2,31509,26,421871
510,2,38017,33,271008
511,6,36952,24,413188
512,8,30731,32,242998
513,4,35464,22,562402
514,2,36659,20,563844
515,6,32819,23,468337
516,6,40830,29,292191
517,2,41965,19,587146
518,4,41860,26,467449
519,2,34377,20,607298
520,7,41127,28,371999
521,6,31737,33,242797
522,6,35191,19,599147
523,2,37206,21,598294
524,3,38553,27,425714
525,2,39700,33,246593
526,3,33246,32,244986
527,8,33019,31,307457
528,6,33134,22,526424
529,2,41821,26,400800
530,8,30517,27,399125
531,6,40881,25,479988
532,2,38926,31,348018
533,2,31383,22,595644
534,6,40099,25,407964
535,6,38292,30,286981
536,3,38552,26,462075
537,6,37664,24,463799
538,6,36410,28,380071
539,2,40671,27,397093
540,2,39978,32,297549
541,7,41728,25,454985
542,7,36092,23,494039
543,5,30580,22,525522
544,4,36831,21,526756
545,2,36546,18,672625
546,3,30168,26,410303
547,2,30772,24,530693
548,2,30209,30,344286
549,7,35938,18,555972
550,2,35306,29,319939
551,2,40282,27,464139
552,3,31124,19,630272
553,5,38820,24,471461
554,8,41182,31,278520
555,7,39640,32,191650
556,6,38432,25,396236
557,3,40315,32,251500
558,2,39930,22,506990
559,4,39435,29,404068
560,4,39023,22,570492
561,2,36081,23,539150
562,7,39561,19,582167
563,2,37163,33,290399
564,2,35865,26,398621
565,7,32218,22,484752
566,6,38354,29,282012
567,4,38293,31,286911
568,3,37703,26,472547
569,3,37765,19,633787
570,3,35256,25,488957
571,8,39539,29,272589
572,6,37660,31,303458
573,3,33631,19,593996
574,8,39457,18,565561
575,6,37958,25,420631
576,6,32336,25,431324
577,3,40040,23,526976
578,2,30439,28,361906
579,7,31215,33,186647
580,3,33858,25,431795
581,4,30779,32,285665
582,2,31349,23,507743
583,2,34963,25,435099
584,3,32493,20,539246
585,2,39563,25,419943
586,7,41501,22,504655
587,2,30671,19,624327
588,2,40461,18,674893
589,8,41459,23,465598
590,8,33320,28,346792
591,6,38727,19,629295
592,6,37019,24,506695
593,5,32598,25,502065
594,6,33089,30,319005
595,2,30714,20,589292
596,3,35656,19,602812
597,6,32035,24,512155
598,4,32249,18,652757
599,3,35785,31,325836
600,2,36825,26,502181
601,2,40631,26,408335
602,2,30692,25,461129
603,2,41738,24,508007
604,2,35395,29,393137
605,6,31219,27,363864
606,5,36265,30,349820
607,4,38884,27,351368
608,5,39270,27,404833
609,3,37664,28,406723
610,7,37823,29,291950
611,2,35111,25,461572
612,2,35770,30,327945
613,4,38866,23,555735
614,6,35055,22,465428
615,3,32510,32,321079
616,3,36002,23,546558
617,5,37195,32,301567
618,6,31361,27,381225
619,2,31692,19,656796
620,6,36833,29,288253
621,2,40180,20,613328
622,2,35769,27,383364
623,7,39844,27,360229
624,3,36599,22,499376
625,8,38446,19,526474
626,2,35424,20,634826
627,5,30322,30,350077
628,2,36146,18,662831
629,7,35848,22,453301
630,7,34259,19,623401
631,5,37818,28,335142
632,3,31806,32,285175
633,5,40117,23,528228
634,3,37729,19,654720
635,3,41042,26,423315
636,6,34691,24,434583
637,6,35334,20,553673
638,8,39437,30,339654
639,2,39093,29,359094
640,5,36469,18,615876
641,2,35447,26,426998
642,5,41409,27,407912
643,6,32902,24,435593
644,8,33912,27,402440
645,3,41670,30,364814
646,2,37630,18,644348
647,2,38011,28,368309
648,2,36161,28,433586
649,2,32598,23,529822
650,3,30170,26,462271
651,2,37755,18,623636
652,2,31594,18,622068
653,2,40358,33,255884
654,8,34407,19,596020
655,6,38685,19,594826
656,5,36127,28,374608
657,2,30657,18,637810
658,6,37834,22,477330
659,8,37203,33,209040
660,3,40939,28,415718
661,3,36482,22,570003
662,8,33706,28,377679
663,4,40913,30,366672
664,3,33805,27,395729
665,6,36486,32,217521
666,3,35792,29,325204
667,6,37677,33,266471
668,2,37774,33,306596
669,6,39946,22,496961
670,2,35321,25,501163
671,3,41474,24,531181
672,7,40132,26,403719
673,3,41989,27,420924
674,6,33610,18,625021
675,5,39298,23,446698
676,2,41579,31,363941
677,8,30570,27,394360
678,2,41966,18,593074
679,6,36031,22,548619
680,2,39272,18,600435
681,2,38739,25,420502
682,2,34632,18,668204
683,2,36059,21,520960
684,4,32925,22,584712
685,4,35846,30,320476
686,6,36760,23,481503
687,3,34424,25,477120
688,2,35061,23,497371
689,2,31722,27,410046
690,8,35775,24,442453
691,3,37389,28,410546
692,3,30501,26,435585
693,3,30501,31,273442
694,6,35560,19,597533
695,3,31541,26,407843
696,6,36963,28,362373
697,2,30898,27,408387
698,6,34036,32,273524
699,2,36149,29,405838
700,2,39078,29,323482
701,5,30830,22,495943
702,7,31572,22,516803
703,3,31870,31,338201
704,7,37380,26,434274
705,8,40494,19,530795
706,2,34684,32,254447
707,3,37824,30,385245
708,7,36975,30,329495
709,7,31719,28,388909
710,8,33897,27,376999
711,8,36008,24,412502
712,6,30725,22,475471
713,2,41652,31,351395
714,2,38319,27,399647
715,2,30490,20,600330
716,3,38710,22,515414
717,2,41668,23,525199
718,7,35306,19,588642
719,6,39894,23,502748
720,2,36441,33,220912
721,2,32159,33,304347
722,3,38709,30,283634
723,3,34812,31,315141
724,2,30116,21,554110
725,3,33383,24,517900
726,2,38345,26,455546
727,2,34245,20,615200
728,6,40410,20,552246
729,3,33844,26,487875
730,2,36253,24,537057
731,2,35762,28,424263
732,3,36329,30,294029
733,6,36524,31,326153
734,2,40561,25,521833
735,3,41543,20,545877
736,3,35348,21,589317
737,8,31384,23,509317
738,3,39266,22,588657
739,3,40527,32,310617
740,2,39120,32,273241
741,2,37054,27,416988
742,8,30436,26,385307
743,3,31699,23,529312
744,4,39444,30,306128
745,6,41271,28,390563
746,8,39672,27,354156
747,6,36112,22,561612
748,2,38632,31,311837
749,5,36861,28,366296
750,7,31434,25,447853
751,3,38323,29,370552
752,3,36748,24,513413
753,5,36404,19,632890
754,2,31462,32,352390
755,2,30250,20,559969
756,7,33221,26,400538
757,6,31813,25,415702
758,2,37975,18,604089
759,2,41740,18,610115
760,6,38032,20,516681
761,6,39622,24,478104
762,2,36044,27,392485
763,2,30730,24,544150
764,8,36993,28,350306
765,6,40779,32,281448
766,6,34840,28,402454
767,6,31835,27,334509
768,2,31507,31,330161
769,2,34652,26,400967
770,6,31185,20,614737
771,5,31106,24,514514
772,2,37240,33,256604
773,6,39190,27,412237
774,6,31867,26,432077
775,7,35134,27,416097
776,3,39201,23,536880
777,7,30325,19,587462
778,6,35163,27,355929
779,3,30022,30,371442
780,2,34739,31,287494
781,3,39372,31,270518
782,6,31547,31,321174
783,2,33630,21,542441
784,2,32259,19,678887
785,7,36202,22,514016
786,6,30531,32,212565
787,7,31297,21,538628
788,5,34517,28,392878
789,6,41155,28,332678
790,8,41777,18,530717
791,2,41529,27,469395
792,2,31275,23,524518
793,6,37789,21,576794
794,7,38773,27,326302
795,4,34863,21,568851
796,2,35475,32,351581
797,2,39761,18,659219
798,6,38096,27,333130
799,6,41177,32,257000
800,3,33275,24,497156
801,5,37925,30,364788
802,3,38083,18,689847
803,2,33896,27,409351
804,4,37071,29,403450
805,3,31608,24,516129
806,7,41495,22,447282
807,6,31789,32,232252
808,5,39710,20,600578
809,5,33227,26,466221
810,3,36093,26,471033
811,2,39859,30,373186
812,2,41731,25,425396
813,5,32198,28,339864
814,5,35834,30,274250
815,3,30856,29,337808
816,4,40650,21,532920
817,2,37539,28,413716
818,2,33990,24,477648
819,3,33634,30,358196
820,8,33995,31,314038
821,8,37350,31,239579
822,8,36552,18,616406
823,3,32870,26,463332
824,4,34368,22,538677
825,7,39559,21,521294
826,7,31399,26,360315
827,2,33792,28,394615
828,2,36793,20,635341
829,6,32992,32,289088
830,3,38712,21,549909
831,2,37513,23,569826
832,6,35197,31,283107
833,6,38002,21,569999
834,2,41314,30,370939
835,2,32403,33,265980
836,6,32399,25,402047
837,2,35050,21,555116
838,2,38894,18,674600
839,8,38656,32,233625
840,2,38674,20,586884
841,4,30136,26,484179
842,3,35651,24,456537
843,5,36641,20,576491
844,2,33320,32,248611
845,5,37277,25,479165
846,2,31734,22,603804
847,6,33459,26,382709
848,2,37593,30,313215
849,6,34179,30,271807
850,3,30636,18,591026
851,6,38419,27,386790
852,2,38965,24,474598
853,5,41567,21,508504
854,3,35337,28,429892
855,2,35344,24,537489
856,8,39466,27,316188
857,6,34632,20,602322
858,4,39916,27,377166
859,8,32629,18,555160
860,3,32267,27,462345
861,2,31067,25,459591
862,6,39708,20,509482
863,2,34967,25,516892
864,6,31659,19,558854
865,2,32104,29,416794
866,2,41874,19,610779
867,4,30795,29,375059
868,5,30223,19,559545
869,4,32253,24,514626
870,4,38459,28,355955
871,2,39701,25,486311
872,6,35016,24,434001
873,2,40970,31,344668
874,3,32297,28,416555
875,2,34349,29,423560
876,2,35188,28,377562
877,6,33257,29,348204
878,3,36421,31,288704
879,6,41407,22,522975
880,2,36925,18,611789
881,3,30504,30,378779
882,2,32624,29,421345
883,8,41772,26,370034
884,6,40979,33,210419
885,4,37628,20,529317
886,2,35527,18,639356
887,3,38903,30,300655
888,8,37214,18,574189
889,2,40191,27,439541
890,2,40652,26,493775
891,5,37085,23,491650
892,6,35091,20,572509
893,6,40552,21,526241
894,3,34192,33,291698
895,2,40053,21,624496
896,6,40281,19,549108
897,3,35687,31,260804
898,3,32590,21,568992
899,3,35990,21,610749
900,5,39319,18,563554
901,5,36801,32,231821
902,2,40481,18,676271
903,2,35440,25,465098
904,5,37569,21,509885
905,3,41814,31,275357
906,7,40040,20,491065
907,7,34988,26,436908
908,2,40570,18,634843
909,6,41814,26,378356
910,8,36157,31,269493
911,3,35044,23,475615
912,3,35034,24,460942
913,3,38116,19,566868
914,7,35970,33,235282
915,6,38760,21,522594
916,5,35841,22,525233
917,5,30389,20,559130
918,7,35340,28,347370
919,4,30040,21,550802
920,6,41845,24,407167
921,4,39722,30,347470
922,6,40057,18,612548
923,2,30088,18,651140
924,2,37588,23,511405
925,7,33705,21,473205
926,8,36528,20,526133
927,2,39595,22,498465
928,7,37468,26,375084
929,6,33609,26,445606
930,3,35609,24,496403
931,2,30241,26,428808
932,6,37388,18,569583
933,6,40621,24,488320
934,8,31242,20,531857
935,5,32962,19,643098
936,2,30966,22,605583
937,3,38765,23,543121
938,3,38858,18,621049
939,6,39249,24,457208
940,2,31156,24,543557
941,3,41878,23,556362
942,7,35214,25,410930
943,2,37231,18,686423
944,7,41958,24,464797
945,6,36282,24,416060
946,2,31875,27,446820
947,3,35964,24,543910
948,8,32370,23,435060
949,6,38678,19,542182
950,3,33227,26,473725
951,7,30950,32,277692
952,8,39414,33,245535
953,7,31920,32,233798
954,7,38596,30,257934
955,7,32244,22,480339
956,6,33267,25,404147
957,2,30041,20,554986
958,7,30853,31,234774
959,3,39808,18,582075
960,3,39694,28,383884
961,5,38856,23,443401
962,6,41127,33,190569
963,2,39518,28,386623
964,5,34422,32,294086
965,6,30039,22,467795
966,8,37515,31,285097
967,4,38103,25,429748
968,8,35913,22,536947
969,4,32956,28,331464
970,3,35227,29,342938
971,8,39658,23,464079
972,6,35188,20,537584
973,2,36982,20,610422
974,2,38674,32,300035
975,6,36916,21,514293
976,8,31840,25,404463
977,6,37134,21,535851
978,6,34398,27,424628
979,2,31085,25,514802
980,2,41676,25,465961
981,2,41177,23,508375
982,2,31139,20,583360
983,3,33103,28,378144
984,7,30674,28,352573
985,2,35729,27,426231
986,6,36972,30,276940
987,2,33764,33,267024
988,2,32948,27,476647
989,2,40950,23,547648
990,2,31646,30,380143
991,6,38874,20,562903
992,2,33620,32,341153
993,4,30656,23,524752
994,2,36191,32,345296
995,2,34276,29,427646
996,2,33177,32,253294
997,6,32681,22,491911
998,3,36615,31,321562
999,7,39070,30,336611
1000,5,33442,33,200412
1001,6,31024,19,566817
1002,7,40620,32,228056
1003,6,32179,22,502960
1004,2,33227,27,378771
1005,3,37729,22,589706
1006,7,36145,25,467932
1007,2,30732,32,298399
1008,3,31213,27,395751
1009,2,33277,29,346638
1010,2,31494,25,462573
1011,7,31209,31,254355
1012,2,37644,29,347859
1013,3,33265,30,354598
1014,6,40716,18,628486
1015,6,36366,18,586991
1016,4,31676,31,289102
1017,2,37845,33,287246
1018,3,38555,21,541467
1019,6,37434,31,298692
1020,2,40622,31,369225
1021,3,33398,25,456726
1022,2,40052,32,259647
1023,8,33225,24,464407
1024,6,40790,23,512291
1025,4,39897,25,478442
1026,3,35606,25,502012
1027,2,40143,27,376610
1028,6,40508,24,402135
1029,5,34913,25,499090
1030,4,36653,24,496556
1031,5,36533,32,220230
1032,7,35469,18,587735
1033,8,36725,24,477423
1034,6,33653,25,422886
1035,3,39691,19,608571
1036,7,36073,28,339482
1037,2,35865,27,386316
1038,2,41287,26,396461
1039,2,41760,33,217394
1040,6,37187,27,347225
1041,6,30808,33,232824
1042,6,35871,32,209175
1043,7,36065,29,284910
1044,2,41552,24,506546
1045,4,41833,18,620931
1046,4,40375,29,338219
1047,2,36841,21,569750
1048,5,38648,20,598511
1049,3,38249,26,390666
1050,4,38501,32,243498
1051,2,30000,25,481706
1052,3,32261,22,516899
1053,2,33569,23,524719
1054,4,36785,33,199982
1055,2,34558,20,559508
1056,6,33648,22,470115
1057,6,34337,25,389929
1058,2,35312,32,286628
1059,2,30716,18,682257
1060,6,31807,28,332725
1061,6,39339,23,496377
1062,3,34407,18,665215
1063,2,36564,25,418857
1064,2,37591,21,569414
1065,2,39858,31,348504
1066,6,32900,27,412024
1067,8,34850,19,549762
1068,2,33243,29,370778
1069,4,37066,26,451226
1070,5,38966,28,396265
1071,4,40071,31,319045
1072,4,35302,20,585825
1073,6,32792,28,379405
1074,6,35923,32,301732
1075,4,31839,24,504264
1076,2,30018,32,329680
1077,6,39884,33,189563
1078,6,36412,24,465974
1079,5,30093,23,537673
1080,3,34273,20,579327
1081,4,31225,33,213765
1082,5,34904,29,359868
1083,6,37991,33,269846
1084,3,30014,25,452415
1085,2,40662,23,501852
1086,3,32125,22,489522
1087,2,35343,26,396902
1088,2,36593,33,249254
1089,2,33359,26,437716
1090,2,37520,18,596715
1091,8,35502,25,406306
1092,8,36361,22,533577
1093,6,30379,28,411944
1094,6,34317,33,192532
1095,8,36239,31,245463
1096,2,34925,30,403830
1097,5,41713,18,611780
1098,8,31437,18,599014
1099,2,38808,23,509785
1100,3,35770,18,683225
1101,6,32744,24,474052
1102,7,37411,18,578500
1103,8,38428,21,561913
1104,6,40181,23,453552
1105,2,32653,18,689258
1106,7,32295,25,445262
1107,4,32240,19,556437
1108,3,31681,31,320161
1109,4,37852,30,359766
1110,6,32318,28,407923
1111,2,35421,20,619694
1112,4,39690,18,628447
1113,2,38656,22,534336
1114,3,32557,22,500548
1115,2,34410,29,388603
1116,7,39979,26,405521
1117,5,40011,31,299909
1118,2,30086,26,441271
1119,7,41591,23,437477
1120,8,36384,29,335959
1121,8,31680,18,619745
1122,4,41463,30,343044
1123,6,35040,33,255235
1124,2,41073,21,537554
1125,2,34339,21,621639
1126,3,41997,30,319658
1127,5,41824,18,660625
1128,2,41663,23,542546
1129,6,39182,23,526157
1130,3,35380,22,538458
1131,3,32694,27,433808
1132,2,33024,32,292345
1133,2,37663,33,277648
1134,2,34948,32,320219
1135,6,33080,32,246602
1136,6,31171,21,536504
1137,5,32016,23,550160
1138,8,30640,32,209536
1139,3,40921,30,312654
1140,2,40265,21,546444
1141,4,34163,29,328861
1142,4,39213,33,246812
1143,6,40727,19,557493
1144,2,41841,25,488192
1145,2,31826,25,497743
1146,3,32576,18,663916
1147,2,33977,23,503687
1148,8,33320,25,410588
1149,2,34891,30,387822
